steps 3000, layers 25, lookups/step 200.0, distinct (layer,expert) touched 6901

 slots   GiB  policy  miss/step     hit  GB/token  DMA ms   vs LRU
   576   8.4     lru      107.4  46.3%      1.57    28.1       --
   576   8.4     lfu      122.0  39.0%      1.79    31.9     -14%
   576   8.4  belady       61.8  69.1%      0.91    16.2     +42%
  1152  16.9     lru       73.5  63.3%      1.08    19.2       --
  1152  16.9     lfu       90.3  54.9%      1.32    23.6     -23%
  1152  16.9  belady       38.6  80.7%      0.57    10.1     +47%
  2304  33.8     lru       40.7  79.6%      0.60    10.7       --
  2304  33.8     lfu       50.3  74.9%      0.74    13.2     -23%
  2304  33.8  belady       19.1  90.4%      0.28     5.0     +53%
  4608  67.5     lru       11.4  94.3%      0.17     3.0       --
  4608  67.5     lfu       11.6  94.2%      0.17     3.0      -2%
  4608  67.5  belady        4.9  97.6%      0.07     1.3     +57%
